//번호	이름	이미지	염색	체력	경험치	방어력	크기tp	공격tp	마방	최소뎀	최대뎀	공격	사망	움직임단위초(ms)
// 0, 선제공격
// 1, 후제공격
// 2, 공격 못하는몹(ex: 토끼..)
// 3, 움직이지 못해..
// 4, 빨피되면 토심.
463	백발귀	284	0	45000	345000	-30	l	0	0	995	1005	-	@백발귀	1000
464	적두귀	284	8	45000	525000	-30	l	0	0	995	1005	-	@적두귀	1000
465	녹두귀	284	19	45000	405000	-30	l	0	0	995	1005	-	@녹두귀	1000
466	사두귀	284	20	46000	405000	-40	l	0	0	995	1005	-	@사두귀	1000
467	청발귀	284	3	47000	555000	-50	l	0	0	995	1005	-	@청발귀	1000
468	흑발귀	284	30	48000	600000	-65	l	0	0	995	1005	-	@흑발귀	1000
469	백향	295	0	48000	600000	-65	l	4	0	3515	3525	-	@백향	1000
470	시오	221	0	50000	540000	-60	l	4	0	1295	1305	-	@시오	1000
471	주오	221	28	50000	465000	-60	l	4	0	1295	1305	-	@주오	1000
472	맹오	225	0	52000	420000	-65	l	4	0	1295	1305	-	@맹오	1000
473	달오	225	28	53000	465000	-62	l	4	0	1295	1305	-	@달오	1000
474	문위	222	0	59000	615000	-60	l	4	0	2895	2905	@문위마법	@문위	1000
475	문려	222	29	54000	615000	-60	l	0	0	3515	3525	-	-	1000
476	주마관	290	0	70000	675000	-44	l	0	0	2515	2525	-	-	1000
477	구마관	290	0	71000	675000	-44	l	0	0	2515	2525	-	-	1000
478	바주겐	291	0	70000	750000	-44	l	0	0	545	555	-	-	1000
479	나주겐	290	18	72000	750000	-44	l	0	0	3515	3525	-	-	1000
480	헨주겐	290	0	75000	750000	-54	l	0	0	3515	3525	-	-	1000
481	욘주겐	291	19	75000	750000	-55	l	0	0	3995	4005	-	-	1000
482	하주겐	290	5	73000	750000	-44	l	0	0	3515	3525	-	-	1000
483	에주겐	291	19	75000	750000	-45	l	0	0	3995	4005	-	-	1000
484	코가닌자'식	265	0	80000	750000	-99	l	0	0	295	305	-	-	1000
485	코가닌자'향	265	2	80000	750000	-99	l	0	0	295	305	-	-	1000
486	파선녀	281	0	90000	780000	-44	l	0	0	295	305	-	@파선녀	1000
487	단선녀	281	4	90000	780000	-44	l	0	0	295	305	-	@단선녀	1000
488	하선녀	281	13	100000	810000	-44	l	0	0	295	305	-	@하선녀	1000
489	견귀	282	0	100000	810000	-44	l	0	0	295	305	-	@견귀	1000
490	견원귀	282	29	100000	810000	-44	l	0	0	295	305	-	@견원귀	1000
491	견인귀	282	11	100000	810000	-44	l	0	0	295	305	-	@견인귀	1000
492	무면귀	283	0	130000	1200000	-60	l	0	0	3515	3525	-	-	1000
493	인화늑대인간	260	0	150000	600000	-20	l	0	0	495	505	-	@인화늑대인간	1000
494	수화늑대인간	292	0	200000	750000	-20	l	0	0	1495	1505	-	@수화늑대인간	1000
495	눈괴물	117	0	60000	400000	-34	l	0	0	295	305	-	@눈괴물	1200
496	북극해골	119	0	40000	300000	-24	l	0	0	95	105	-	@북극해골	1000
497	북극곰	118	0	40000	300000	-24	l	0	0	295	305	-	@북극곰	1200
498	약한눈괴물	117	1	30000	150000	-30	l	0	0	295	305	-	@약한눈괴물	1000
499	약한북극곰	118	0	20000	120000	-20	l	0	0	295	305	-	-	1000
500	약한북극해골	119	3	30000	100000	-20	l	0	0	95	105	-	-	1000
501	녹눈괴물	117	1	30000	200000	-30	l	0	0	295	305	-	@녹눈괴물	1000
503	녹북극해골	119	1	35000	150000	-20	l	0	0	95	105	-	-	1000
504	칼찬북극해골	120	17	80000	480000	-24	l	0	0	495	505	-	@칼찬북극해골	1000
505	북극사슴	191	0	200000	550000	-44	l	0	0	1795	1805	-	-	1000
506	타락산타	192	0	40000	770000	-55	l	0	0	1995	2005	-	@타락산타	1000
507	도적산타	195	0	40000	880000	-55	l	0	0	1995	2005	-	@도적산타	1000
508	적북극사슴	191	20	200000	530000	-44	l	0	0	1795	1805	-	@적북극사슴	1000
509	황북극사슴	191	30	210000	530000	-45	l	0	0	1795	1805	-	@황북극사슴	1000
510	불꽃북극사슴	191	30	210000	490000	-45	l	0	0	1795	1805	-	@불꽃북극사슴	1000
511	녹북극사슴	191	10	210000	420000	-45	l	0	0	1795	1805	-	@녹북극사슴	1000
512	청북극사슴	191	2	210000	410000	-45	l	0	0	1795	1805	-	@청북극사슴	1000
513	남북극사슴	191	2	210000	520000	-45	l	0	0	1795	1805	-	@남북극사슴	1000
514	자북극사슴	191	5	210000	440000	-45	l	0	0	1795	1805	-	@자북극사슴	1000
515	청비	103	0	100000	600000	-44	l	0	0	3003	3305	-	@청비	600
516	적비	102	0	110000	650000	-44	l	0	0	3102	3202	-	@적비	600
517	흑비	101	0	120000	700000	-44	l	0	0	3202	3405	-	@흑비	600
518	겁살수	142	0	200000	1000000	-54	l	0	0	4004	5005	-	@겁살수	600
519	겁살파수	147	5	230000	2000000	-64	l	0	0	4995	5005	-	@겁살파수	600
520	겁살파수꾼	156	0	400000	1000000	-74	l	0	0	9995	10005	-	@겁살파수꾼	600
521	흑숫사슴	90	10	200000	200000	-30	l	0	0	16995	17005	-	-	1500
522	인묘	453	0	70000	850000	-44	l	0	0	950	1350	-	-	1000
523	녹코뿔소	124	0	10000	31000	0	l	0	0	250	300	-	-	1000
524	흑코뿔소	124	10	13000	37000	-10	l	0	0	250	300	-	-	1000
525	백코뿔소	124	11	13000	37000	-10	l	0	0	250	300	-	-	1000
526	황선코뿔소	124	13	15000	75000	-15	l	0	0	320	340	-	-	1000
527	녹선코뿔소	124	0	15000	75000	-15	l	0	0	320	350	-	-	1000
528	코뿔소제독	460	1	20000	120000	-15	l	0	0	340	350	-	-	1000
529	코뿔소대왕	461	0	40000	180000	-30	l	0	0	550	560	-	@코뿔소대왕	1000
530	중간왕악어	456	0	40000	300000	-20	l	0	0	545	555	-	@중간왕악어	1000
531	악어대왕	457	0	80000	400000	-15	l	0	0	895	905	-	@악어대왕	1000
532	살쾡이	464	0	60000	480000	-25	l	0	0	85	95	-	-	1000
533	살쾡이왕	465	0	80000	600000	-35	l	0	0	95	105	-	@살쾡이왕	1000
534	외눈황천신	468	0	52500	300000	-30	l	0	0	85	110	-	-	1000
535	불의천신	469	0	100000	800000	-44	l	0	0	1145	1155	-	@불의천신	1000
536	흡혈비후	472	0	150000	900000	-45	l	0	0	205	255	-	-	1000
537	마계천신	473	0	300000	1200000	-50	l	0	0	2395	2405	-	@마계천신	1000
538	흡혈강시	474	0	350000	550000	-44	l	0	0	1495	1505	-	@흡혈강시	1000
539	흑발강시	476	0	500000	1200000	-45	l	0	0	1995	2005	-	-	1000
540	만년원귀	477	0	1500000	2300000	-60	l	0	0	9995	10005	-	@만년원귀	1000
542	장안성고양인어	417	0	9000	70000	20	l	0	0	700	800	-	-	1000
543	장안성이쁘니인어	418	0	8000	90000	0	l	0	0	600	750	-	-	1000
544	장안성여왕인어	419	0	36000	200000	20	l	0	0	95	105	-	@장안성여왕인어	1000
545	염유장군	533	7	5000	50000	10	l	0	0	95	105	-	@염유장군	1000
546	염유왕	534	7	9000	70000	10	l	0	0	295	305	-	@염유왕	1000
547	흑마기린	518	0	9999	120000	0	l	0	0	75	85	-	@흑마기린	1000
548	기린염왕	519	0	12000	120000	0	l	0	0	75	85	-	@기린염왕	1000
549	무슈후슈'녹	523	0	5000	13000	-10	l	0	0	65	75	-	@무슈후슈'녹	1000
550	무슈후슈'갈	523	5	5000	16000	-10	l	0	0	85	95	-	@무슈후슈'갈	1000
551	무슈후슈'진녹	523	14	7500	38000	-10	l	0	0	85	95	-	@무슈후슈'진녹	1000
552	무슈후슈'진갈	523	4	7500	50000	-10	l	0	0	85	95	-	@무슈후슈'진갈	1000
553	무슈후슈'태	524	0	9000	80000	-10	l	0	0	115	125	-	@무슈후슈'태	1000
554	현왕무슈후슈	525	-20	11000	150000	0	l	0	0	115	125	-	@현왕무슈후슈	1000
555	황천리마	535	30	18500	250000	-20	l	0	0	195	205	-	-	1000
556	진황천리마	535	9	19000	270000	-20	l	0	0	295	305	-	-	1000
557	백천리마	535	11	19500	290000	-20	l	0	0	345	355	-	-	1000
558	흑천리마	535	10	20000	350000	-25	l	0	0	345	355	-	@흑천리마	1000
559	비영천리마	536	0	20000	450000	-30	l	0	0	395	405	-	@비영천리마	1000
560	진왕천리마	537	0	22000	550000	-30	l	0	0	495	505	-	@진왕천리마	1000
561	괴성'청	513	2	39000	400000	0	l	0	0	495	505	-	@괴성'청	600
562	괴성'녹	513	14	39000	470000	0	l	0	0	695	705	-	@괴성'녹	600
563	동괴성	514	0	42000	520000	-30	l	0	0	1195	1205	-	@동괴성	1500
564	괴성왕	516	0	43000	700000	-40	l	0	0	1395	1405	-	@괴성왕	1500
565	뇌신'황	520	4	39000	400000	-10	l	0	0	495	505	-	-	1500
566	뇌신'자	520	7	39000	480000	-10	l	0	0	495	505	-	@뇌신'자	600
567	뇌신'태	521	0	42000	720000	-25	l	0	0	695	705	-	@뇌신'태	600
568	뇌신왕	522	0	50000	1000000	-25	l	0	0	1295	1305	-	@뇌신왕	500
569	연청산소	526	2	5000	28000	10	l	0	0	65	75	-	@연청산소	1500
570	백산소	526	11	5000	32000	10	l	0	0	65	75	-	@백산소	1000
571	황산소	526	30	5000	37000	10	l	0	0	65	75	-	@황산소	1000
572	청산소괴	527	0	7000	41000	10	l	0	0	95	105	-	@청산소괴	1000
573	적산소괴	527	29	7000	44000	10	l	0	0	95	105	-	@적산소괴	1000
574	녹산소괴	527	0	7500	46000	10	l	0	0	95	105	-	@녹산소괴	1000
575	산소괴왕	528	0	8000	120000	-20	l	0	0	95	105	@낙뢰천	@산소괴왕	1000
576	도삭산황소	28	30	480	1500	40	l	0	0	9	19	-	@도삭산황소	1000
577	도삭산까만소	28	28	500	2000	30	l	0	0	35	45	-	-	1000
578	도삭산하얀소	28	11	600	3000	20	l	0	0	35	45	-	-	1000
579	도삭산평웅	25	5	2300	2300	30	l	0	0	15	25	-	@도삭산평웅	1000
580	도삭산진웅	25	7	2500	4500	20	l	0	0	10	20	-	-	1000
581	도삭산평호	30	5	2400	4500	0	l	0	0	15	25	-	-	1000
582	도삭산진호	30	7	2600	6000	0	l	0	0	50	60	-	-	1000
583	도삭산차력게	399	0	4700	20000	10	l	0	0	55	65	-	-	1000
584	도삭산사산게	399	2	4800	30000	0	l	0	0	60	70	-	-	1000
585	도삭산게력사	399	0	4500	15000	20	l	0	0	45	55	-	-	1000
586	도삭산이쁘니인어	418	0	8000	45000	-10	l	0	0	110	120	-	@도삭산이쁘니인어	1000
587	도삭산고양인어	417	0	7400	63000	-10	l	0	0	110	120	-	@도삭산고양인어	1000
588	도삭산대장인어	419	0	7500	90000	-35	l	0	0	115	125	-	-	1000
589	도삭산해파리장군	425	0	17000	250000	-20	l	0	0	125	135	-	-	1000
590	도삭산대발문어	405	0	20000	150000	-10	l	0	0	210	220	-	-	1000
591	도삭산장간문어	405	2	25000	250000	-15	l	0	0	340	350	-	-	1000
592	도삭산문어장군	407	0	25000	300000	-30	l	0	0	395	405	-	-	1000
593	도삭산인묘	453	0	25000	300000	-15	l	0	0	195	205	-	-	1000
594	도삭산흑코뿔소	458	10	19000	100000	-10	l	0	0	275	285	-	@도삭산흑코뿔소	1000
595	도삭산백코뿔소	458	11	20000	150000	-10	l	0	0	285	295	-	@도삭산백코뿔소	1000
596	도삭산황선코뿔소	459	13	20000	230000	-15	l	0	0	345	355	-	@도삭산황선코뿔소	1000
597	도삭산코뿔소제독	458	0	24000	320000	-20	l	0	0	315	325	-	@도삭산코뿔소제독	1000
598	도삭산살쾡이	464	0	36000	350000	-25	l	0	0	345	355	-	-	1000
599	도삭산왕악어	457	0	40000	400000	-30	l	0	0	495	505	-	-	1000
600	도삭산무슈후슈'갈	523	9	150000	240000	-30	l	0	0	1545	1555	-	-	1000
601	도삭산무슈후슈'진녹	523	14	155000	320000	-30	l	0	0	1595	1605	-	-	1000
602	도삭산무슈후슈'태	524	0	160000	450000	-30	l	0	0	1695	1705	-	-	1000
603	도삭산문비	228	0	180000	300000	-30	l	0	0	645	655	-	-	1000
604	도삭산문비도둑	228	0	190000	300000	-30	l	0	0	645	655	-	-	1000
605	도삭산왕가	242	0	200000	500000	-30	l	0	0	695	705	-	-	1000
606	도삭산청웅	251	0	150000	780000	-30	l	0	0	875	885	-	-	1000
607	도삭산태산	227	0	230000	900000	-23	l	0	0	1075	1085	-	-	1000
608	도삭산눈괴물	117	0	350000	700000	-40	l	0	0	1095	1105	-	-	1000
609	도삭산북극곰	118	0	320000	800000	-40	l	0	0	1246	1256	-	-	1000
610	도삭산북극해골	119	0	340000	1200000	-50	l	0	0	1737	1747	-	-	1000
611	도삭산칼찬해골	120	17	400000	2200000	-60	l	0	0	2536	2546	-	-	1000
612	곰	25	5	900	1000	30	l	1	0	48	52	-	@곰	1000
613	호랑이	30	5	1000	1500	30	l	0	0	48	52	-	@호랑이	1000
614	녹령	168	22	48000	400000	-13	l	0	0	610	650	-	-	1000
615	갈산신	529	4	550000	3500000	-60	l	0	0	3495	3505	-	-	850
616	백산신	529	11	750000	3500000	-60	l	0	0	4495	4505	-	@백산신	850
617	황산신	529	30	1300000	4500000	-60	l	0	0	5995	6005	-	-	850
618	적산신	529	31	1300000	5000000	-65	l	0	0	9825	9835	-	-	850
619	콩고	128	24	6750	400000	-65	l	0	0	445	445	-	@콩고	1100
//1000~1300 마비 안걸리는몬스터들
1000	복어장군	410	0	120000	700000	-50	s	0	0	3995	4005	@독구름	-	900
1001	인면벌	243	0	20000	130000	-15	s	0	0	1995	2005	-	@인면벌	800
1002	인면충	244	0	33000	150000	-15	s	0	0	2995	3005	-	@인면충	800
1003	새끼게	400	0	30000	250000	-15	s	0	0	500	800	-	-	900
1004	세발문어	406	0	33000	350000	-15	s	0	0	500	800	-	@세발문어	900
1005	쥐방울해마	421	0	70000	450000	-25	s	0	0	500	800	-	@쥐방울해마	900
1006	꼬리해마	421	2	70000	450000	-20	s	0	0	500	800	-	@꼬리해마	900
1007	해파리부하	424	0	600000	180000	-80	s	0	0	800	1200	-	-	900
1008	해파리수하	423	0	550000	170000	-80	s	0	0	900	1500	-	-	900
1009	너구리	276	0	45000	700000	-15	s	0	0	295	305	-	@너구리	900
1010	일본원숭이	269	0	50000	750000	-15	s	0	0	295	305	-	@일본원숭이	900
1011	은여우	256	0	70000	880000	-15	s	0	0	395	405	-	@은여우	900
//1012~1013 비어있음
1014	도삭산선비평민	478	0	250000	600000	-30	l	0	0	2119	2129	@혼륜수렁'개	@도삭산선비평민	800
1015	도삭산선비검객	479	0	300000	730000	-40	l	0	0	2419	2429	@뇌성빙목'개	@도삭산선비검객	800
1016	도삭산흉노전사	484	0	400000	1150000	-40	l	0	0	5009	5019	@진격참	@도삭산흉노전사	800
1017	도삭산흉노무사	483	0	400000	920000	-30	l	0	0	3009	3019	@무성운파	@도삭산흉노무사	800
1022	적류산신	530	0	2500000	20000000	-80	l	0	0	80000	95000	@염승천곤	-	750
1023	녹류산신	530	28	3000000	20000000	-80	l	0	0	95000	120000	@염승천곤	-	750
1024	청류산신	530	30	4000000	25000000	-80	l	0	0	95000	115000	@염승천곤	-	750
1025	산신대왕	531	0	80000000	30000000	-95	l	0	0	303149	303159	@흑환안	@산신대왕	600
1026	도삭산해골왕	315	0	5000000	9999999	-95	l	0	0	2423149	2423159	@해골왕공격	@도삭산해골왕	700
1027	도삭산길림장군	231	0	7500000	9999999	-88	l	0	0	623149	623159	-	@도삭산길림장군	700
1028	도삭산북천황	250	0	5000000	9999999	-88	l	0	0	1123149	1123159	@북천황공격	-	700
1029	도삭산선우	485	0	10000000	9999999	-80	l	0	0	13149	13159	@무성격파	@도삭산선우	700
1030	도삭산수룡	187	2	5000000	9999999	-88	l	0	0	123149	123159	-	@도삭산수룡	700
1031	도삭산화룡	187	4	5000000	9999999	-88	l	0	0	313149	313159	-	@도삭산화룡	700
1032	도삭산파괴왕	297	0	5000000	9999999	-95	l	0	0	123149	123159	@폭룡소환	@도삭산파괴왕	650
1033	도삭산청의태자	404	0	10000000	9999999	-80	l	0	0	101149	101159	@청룡마령참	@도삭산청의태자	500
1034	도삭산풍석	280	0	3000000	9999999	-95	l	0	0	61226	61236	@강뢰파탄	@도삭산풍석	750
1035	도삭산암흑왕	323	0	5000000	9999999	-95	l	0	0	162340	162350	@암흑왕공격	@도삭산암흑왕	700
1036	선비평민	478	0	550000	2000000	-65	l	0	0	5500	5600	@혼륜수렁	@선비평민	900
1037	선비검객	479	0	650000	2500000	-65	l	0	0	7000	7500	@뇌성빙목	@선비검객	900
1038	길림장군	231	0	5050000	5500000	-78	l	4	0	399995	400005	-	@길림장군	700
1039	중월장군	232	0	5000000	5000000	-78	l	4	0	299995	300005	-	@중월장군	700
1040	수호구미호	35	11	150000	200000	-50	l	0	0	19995	20005	@암흑투기	-	800
1041	수호불귀신	113	25	8000000	200000	-87	l	0	0	88885	90005	@암흑열광탄	-	800
1042	수호유령전사	168	11	150000	200000	-50	l	0	0	19995	20005	@암흑정령	-	800
1043	수호유령도적	168	11	150000	200000	-50	l	0	0	19995	20005	@암흑정령	-	800
1044	폭염귀	324	0	30000000	1	-95	l	0	0	199995	200005	@지옥겁화	@폭염귀	700
1045	수렴귀	325	0	30000000	1	-95	l	0	0	199995	200005	@얼음지옥	@수렴귀	700
1046	풍석	280	0	30000000	1	-95	l	0	0	199995	200005	@강뢰파탄	@풍석	700
1047	운랑	326	0	30000000	1	-95	l	0	0	199995	200005	@운랑공격	@운랑	700
1048	암흑왕	323	0	90000000	1	-75	l	0	0	499995	500005	@암흑왕공격	@암흑왕	650
1049	수룡	187	8	1000000	9999999	-90	l	0	0	59995	60005	-	@수룡	700
1050	화룡	187	4	1250000	9999999	-90	l	0	0	69995	70005	-	@화룡	700
1051	북천황	250	0	100000000	10000000	-88	l	4	0	479995	480005	@북천황공격	@북천황	700
1052	뇌랑	234	0	2500000	1500000	-45	l	4	0	39995	40005	@뇌랑공격	@뇌랑	900
1053	천오	235	0	2000000	2200000	-45	l	4	0	99995	100005	@천오공격	@천오	900
1054	마려	237	0	2000000	5000000	-78	l	4	0	149995	150005	@마려마법	@마려	900
1055	야월진랑	246	0	2000000	5500000	-88	l	4	0	349995	350005	@야월진랑공격	@야월진랑	900
1056	암령	240	0	900000	5000000	-78	l	4	0	49995	50005	-	@암령	900
1057	철거인	249	0	5000000	5000000	-78	l	4	0	249995	250005	-	@철거인	900
1058	소천대사	238	0	2000000	5500000	-78	l	4	0	59995	60005	@소천대사공격	@소천대사	900
1059	대나무	254	0	1000	100000	-5	l	3	0	5	10	-	@대나무	1000
1060	문비	228	0	73000	350000	-15	l	4	0	2995	3005	-	@문비	900
1061	박가	229	0	90000	400000	-15	l	4	0	3995	4005	-	@박가	900
1062	왕가	242	0	100000	500000	-15	l	4	0	4995	5005	-	@왕가	900
1063	백보	230	0	20000	350000	-20	l	4	0	1995	2005	-	@백보	900
1064	최가	247	0	53000	200000	-20	l	4	0	11995	12005	-	@최가	900
1065	청웅	251	0	70000	450000	-20	l	4	0	13995	14005	-	@청웅	900
1066	황웅	252	0	78000	480000	-20	l	4	0	13995	14005	-	@황웅	900
1067	귀응	226	0	130000	770000	-20	l	4	0	9995	10005	-	@귀응	900
1068	태산	227	0	180000	880000	-30	l	4	0	11995	12005	-	@태산	900
1069	독화	236	0	260000	350000	-44	l	4	0	19995	20005	-	@독화	900
1070	신몽	239	0	210000	100000	-44	l	4	0	29995	30005	@신몽공격	@신몽	900
1071	엽춘	241	0	490000	550000	-55	l	4	0	24995	25005	-	@엽춘	900
1072	조왕	245	0	490000	600000	-55	l	4	0	29995	30005	-	@조왕	900
1073	철보장	233	0	2500000	2000000	-55	l	4	0	199995	200005	-	@철보장	900
1074	북천황신수	253	0	120000000	20000000	0	l	1	0	1499995	1500005	-	-	900
1075	복순이	408	0	15000	100000	-15	l	0	0	80	100	-	@복순이	800
1076	복수리	409	0	20000	150000	-15	l	0	0	80	100	-	@복수리	800
1077	복홍	409	31	24000	200000	-15	l	0	0	80	100	-	@복홍	800
1078	게력사	399	0	25000	200000	-10	l	0	0	100	120	-	-	800
1079	사산게	399	2	31000	220000	-20	l	0	0	100	120	-	@사산게	800
1080	파산게	399	1	30000	220000	-20	l	0	0	100	120	-	@파산게	800
1081	게장군	401	0	300000	1000000	-50	l	0	0	11995	12005	@암흑진	-	800
1082	대발문어	405	0	33000	380000	-15	l	0	0	300	500	-	@대발문어	800
1083	장간문어	405	2	33000	350000	-15	l	0	0	300	500	-	@장간문어	800
1084	문어장군	407	0	35000	800000	-30	l	0	0	14995	15005	@태샅진동	-	800
1085	해마병사	420	0	100000	550000	-35	l	0	0	400	600	-	@해마병사	800
1086	해마장군	422	0	508000	2000000	-50	l	0	0	24995	25005	@수마파	-	800
1087	고양이인어	417	0	90000	600000	-40	l	4	0	600	700	-	@고양이인어	900
1088	이쁘니인어	418	0	80000	620000	-40	l	4	0	600	700	-	@이쁘니인어	900
1089	인어장군	419	0	600000	4000000	-55	l	4	0	30065	30075	@인어의포박	-	900
1090	외칼이상어	412	0	580000	1300000	-65	l	4	0	1200	1300	-	@외칼이상어	900
1091	쌍칼상어	411	0	560000	1200000	-70	l	4	0	800	900	-	@쌍칼상어	900
1092	상어장군	413	0	3000000	5000000	-80	l	4	0	47995	48005	@괴력선참	-	900
1093	해파리장군	425	0	4000000	6000000	-90	l	4	0	107995	108005	@천귀살상	-	900
1094	날수괴	444	0	3000000	5600000	-60	l	0	0	69995	60005	-	-	1500
1095	청의태자	404	0	80000000	200000000	-95	l	0	0	400000	500000	@청룡마령참	-	500
1096	범녹	131	6	400000	4000000	-65	l	0	0	13435	13455	@호굴공격1	@범녹	800
1097	범목	131	7	500000	4400000	-65	l	0	0	15445	15435	@호굴공격1	@범목	800
1098	범수	131	3	500000	4000000	-50	l	0	0	12995	13005	@호굴공격3	@범수	800
1099	범증	131	2	500000	4000000	-60	l	0	0	12995	13005	@호굴공격2	@범증	800
1100	범지	131	5	700000	4600000	-55	l	0	0	12835	12855	@호굴공격1	@범지	800
1101	범천	131	4	700000	4500000	-50	l	0	0	12995	13005	@호굴공격1	@범천	800
1102	백호왕	131	0	900000	8000000	-90	l	0	0	16995	17005	@호굴공격4	@백호왕	800
1103	적호왕	131	17	900000	9000000	-95	l	0	0	114345	114355	@호굴공격4	@적호왕	800
1104	진백호왕	131	21	60000	4500000	-95	l	0	0	239995	240005	@호굴공격4	@진백호왕	800
1105	감룡	187	3	15000000	4999999	-90	l	0	0	124345	124355	@용의분노1	@감룡	750
1106	묵룡	187	21	15000000	4999999	-90	l	0	0	124345	124355	@용의분노1	@묵룡	750
1107	흑룡	187	10	15000000	4999999	-90	l	0	0	124345	124355	@용의분노1	@흑룡	750
1108	진룡	187	15	15000000	4999999	-90	l	0	0	124345	124355	@용의분노1	@진룡	750
1109	용겸	109	4	7000000	23000000	-80	l	0	0	67995	68005	@용의분노	@용겸	800
1110	용랑	109	3	7000000	23000000	-80	l	0	0	67995	68005	@용의분노	@용랑	800
1111	용마	109	2	7000000	23000000	-80	l	0	0	67995	68005	@용의분노	@용마	800
1112	용천	109	5	7000000	23000000	-80	l	0	0	67995	68005	@용의분노	@용천	800
1113	용왕용겸	133	25	10000000	9999999	-40	l	0	0	339995	340005	@용겸의침격	@용왕용겸	700
1114	용왕용랑	133	24	10000000	9999999	-40	l	0	0	339995	340005	@용랑의침격	@용왕용랑	700
1115	용왕용마	133	22	10000000	9999999	-40	l	0	0	339995	340005	@용마의침격	@용왕용마	700
1116	용왕용천	133	23	10000000	9999999	-40	l	0	0	339995	340005	@용천의침격	@용왕용천	700
1117	거미랑	98	2	8500	60000	-10	l	0	0	35	45	-	@거미랑	1000
1118	사마귀랑	99	2	8500	95000	-10	l	0	0	65	75	-	@사마귀랑	1000
1119	백현귀랑	98	9	35000	350000	-10	l	0	0	295	305	-	@백현귀랑	1000
1120	현랑귀랑	99	5	50000	380000	-10	l	0	0	695	705	-	@현랑귀랑	1000
1121	폭염왕	594	0	20000000	30000000	-40	l	0	0	157595	157605	@진노폭염참	@폭염왕	700
1122	진여왕지주	566	0	200000	1500000	-30	l	0	0	9995	10005	-	@진여왕지주	900
1123	독사여왕	578	0	300000	5000000	-50	l	0	0	11045	11055	-	@독사여왕	900
1124	아귀	270	0	70000	880000	-15	l	0	0	395	405	-	@아귀	1000
1125	어전	268	0	70000	880000	-15	l	0	0	495	505	-	@어전	1000
1126	멧돼지	294	0	180000	1000000	-15	l	0	0	545	555	-	@멧돼지	1000
1127	코가닌자'진	289	0	2300000	15000000	-99	l	0	0	295	305	-	-	1000
1128	만월늑대인간	292	26	2200000	100000000	-40	l	0	0	1995	2005	-	-	950
1129	유성지	255	0	4500000	15000000	-99	l	0	0	25515	25525	@유성지공격	@유성지	750
1130	파괴왕	297	0	80000000	25000000	-99	l	0	0	83515	83525	@폭룡소환	@파괴왕	650
1131	파연	224	0	1300000	4650000	-80	l	0	0	4515	4525	-	@파연	900
1132	파성	224	2	1300000	5200000	-80	l	0	0	4515	4525	-	@파성	900
1133	파단	224	4	1300000	6150000	-80	l	0	0	4515	4525	-	@파단	900
1134	파염	224	18	1310000	6900000	-80	l	0	0	4515	4525	-	@파염	900
1135	월연	223	0	1340000	5550000	-80	l	0	0	4515	4525	-	@월연	900
1136	월지	223	2	1350000	6150000	-80	l	0	0	4515	4525	-	@월지	900
1137	월선	223	4	1340000	6750000	-80	l	0	0	4515	4525	-	@월선	900
1138	월정	223	16	1340000	7350000	-80	l	0	0	4515	4525	-	@월정	900
1139	노정공	299	0	1360000	14250000	-80	l	0	0	4515	4525	-	-	1000
1140	노정비	299	13	1360000	14250000	-80	l	0	0	4515	4525	-	-	1000
1141	해골왕	315	0	25000000	15000000	-99	l	0	0	33515	33525	@해골왕공격	@해골왕	700
1142	선비대장군	481	0	1000000	6000000	-65	l	4	0	15000	20000	-	@선비대장군	800
1143	흉노평민	482	0	2000000	10000000	-65	l	0	0	36995	47005	@영격참	-	750
1144	흉노전사	483	0	3000000	12000000	-65	l	0	0	51995	62005	@진격참	-	750
1145	흉노무사	484	0	3000000	17000000	-70	l	0	0	109995	110005	@무성운파	-	750
1146	선우	485	0	7000000	30000000	-90	l	0	0	1199995	1200005	@무성격파	@선우	600
1147	선중	485	2	7000000	30000000	-90	l	0	0	1199995	1200005	@무성격파	@선중	600
1148	선백	485	7	7000000	30000000	-90	l	0	0	1199995	1200005	@무성격파	@선백	600
1149	선궁	485	4	7000000	30000000	-90	l	0	0	1199995	1200005	@무성격파	@선궁	600
1150	선계	485	6	7000000	30000000	-90	l	0	0	1199995	1200005	@무성격파	@선계	600
1151	서현거미	98	10	8000	100000	-10	l	0	0	225	235	-	@서현거미	950
1152	초급유령	168	2	19000	148000	-15	l	0	0	380	420	-	@초급유령	950
1153	날쌘해골	31	17	15000	135000	-15	l	0	0	35	45	-	@날쌘해골	950
1154	쾌도해골	32	25	20000	135000	0	l	0	0	265	275	-	@쾌도해골	950
//1155~1161 비어있음
1162	반고	499	0	1500000000	9000000	-99	l	0	0	999995	1000005	@반고공격	@반고	600
1163	순제	501	0	990000000	9000000	-90	l	0	0	699995	700005	@순제공격	@순제	650
1164	요제	502	0	99000000	9000000	-90	l	0	0	699995	700005	@요제공격	@요제	650
1165	아권도사	508	0	6000000	6000000	-30	l	0	0	149995	150005	-	-	900
1166	학도사	508	0	3000000	4000000	-30	l	0	0	99995	100005	-	-	900
1167	제곡	504	0	90000000	9000000	-90	l	0	0	699995	700005	@제곡공격	@제곡	650
1168	단	505	0	6000000	6000000	-30	l	0	0	149995	150005	-	-	900
1169	암수	509	0	3000000	4000000	-30	l	0	0	99995	100005	-	-	900
